Sr.,Stock Name,Symbol,Yahoo_symbol
1,CNXMIDCAP,CNXMIDCAP,NIFTY_MIDCAP_100.NS
2,BANKNIFTY,BANKNIFTY,^NSEBANK
3,Page Industries Limited,PAGEIND,PAGEIND.NS
4,Bosch Limited,BOSCHLTD,BOSCHLTD.NS
5,Shree Cements Limited,SHREECEM,SHREECEM.NS
6,NIFTY,NIFTY,^NSEI
7,Dixon Technologies,DIXON,DIXON.NS
8,Maruti Suzuki India Limited,MARUTI,MARUTI.NS
9,Solar Industries India Limited,SOLARINDS,SOLARINDS.NS
10,Ultratech Cement Limited,ULTRACEMCO,ULTRACEMCO.NS
11,Bajaj Auto Limited,BAJAJ-AUTO,BAJAJ-AUTO.NS
12,Oracle Financial Services Software Limited,OFSS,OFSS.NS
13,Apollo Hospitals Enterprise Limited,APOLLOHOSP,APOLLOHOSP.NS
14,Amber Enterprises India Ltd,AMBER,AMBER.NS
15,Multi Commodity Exchange Of India Limited,MCX,MCX.NS
16,Polycab India Ltd,POLYCAB,POLYCAB.NS
17,Kaynes Technology India Ltd,KAYNES,KAYNES.NS
18,Nuvama Wealth Management Ltd,NUVAMA,NUVAMA.NS
19,Eicher Motors Limited,EICHERMOT,EICHERMOT.NS
20,Divi's Laboratories Limited,DIVISLAB,DIVISLAB.NS
21,Britannia Industries Limited,BRITANNIA,BRITANNIA.NS
22,Interglobe Aviation Limited,INDIGO,INDIGO.NS
23,HDFC Asset Management Company Ltd,HDFCAMC,HDFCAMC.NS
24,Tata Elxsi Limited,TATAELXSI,TATAELXSI.NS
25,Trent Limited,TRENT,TRENT.NS
26,Hero Motocorp Limited,HEROMOTOCO,HEROMOTOCO.NS
27,Persistent Systems Limited,PERSISTENT,PERSISTENT.NS
28,Alkem Laboratories Limited,ALKEM,ALKEM.NS
29,Abb India Limited,ABB,ABB.NS
30,LTI Mindtree Ltd,LTIM,LTIM.NS
31,Avenue Supermarts,DMART,DMART.NS
32,Supreme Industries Limited,SUPREMEIND,SUPREMEIND.NS
33,Hindustan Aeronautics Ltd,HAL,HAL.NS
34,Kei Industries Limited,KEI,KEI.NS
35,Cummins India Limited,CUMMINSIND,CUMMINSIND.NS
36,Computer Age Management Services Ltd,CAMS,CAMS.NS
37,Pi Industries Limited,PIIND,PIIND.NS
38,Titan Company Limited,TITAN,TITAN.NS
39,Torrent Pharmaceuticals Limited,TORNTPHARM,TORNTPHARM.NS
40,Larsen & Toubro Limited,LT,LT.NS
41,Tvs Motor Company Limited,TVSMOTOR,TVSMOTOR.NS
42,Mahindra & Mahindra Limited,M&M,M&M.NS
43,Siemens Limited,SIEMENS,SIEMENS.NS
44,Pidilite Industries Limited,PIDILITIND,PIDILITIND.NS
45,Tata Consultancy Services Limited,TCS,TCS.NS
46,Tube Investments of India Ltd,TIINDIA,TIINDIA.NS
47,Srf Limited,SRF,SRF.NS
48,Mphasis Limited,MPHASIS,MPHASIS.NS
49,Grasim Industries Limited,GRASIM,GRASIM.NS
50,Muthoot Finance Limited,MUTHOOTFIN,MUTHOOTFIN.NS
51,Mazagon Dock Shipbuilders Ltd,MAZDOCK,MAZDOCK.NS
52,Hindustan Unilever Limited,HINDUNILVR,HINDUNILVR.NS
53,Mankind Pharma Ltd,MANKIND,MANKIND.NS
54,Asian Paints Limited,ASIANPAINT,ASIANPAINT.NS
55,Dalmia Bharat Limited,DALBHARAT,DALBHARAT.NS
56,Colgate Palmolive (india) Limited,COLPAL,COLPAL.NS
57,Adani Enterprises Limited,ADANIENT,ADANIENT.NS
58,Angel One Ltd,ANGELONE,ANGELONE.NS
59,BSE (Bombay stock exchange),BSE,BSE.NS
60,Godrej Properties Limited,GODREJPROP,GODREJPROP.NS
61,Glenmark Pharmaceuticals Limited,GLENMARK,GLENMARK.NS
62,Blue Star Limited,BLUESTARCO,BLUESTARCO.NS
63,Bajaj Finserv Limited,BAJAJFINSV,BAJAJFINSV.NS
64,Kotak Mahindra Bank Limited,KOTAKBANK,KOTAKBANK.NS
65,Lupin Limited,LUPIN,LUPIN.NS
66,Bharti Airtel Limited,BHARTIARTL,BHARTIARTL.NS
67,PB Fintech Ltd,POLICYBZR,POLICYBZR.NS
68,Patanjali Foods Ltd,PATANJALI,PATANJALI.NS
69,ICICI Lombard General Insurance Company Ltd,ICICIGI,ICICIGI.NS
70,SBI Life Insurance Company Ltd,SBILIFE,SBILIFE.NS
71,Coforge (Niit Tech),COFORGE,COFORGE.NS
72,Oberoi Realty Limited,OBEROIRLTY,OBEROIRLTY.NS
73,Apl Apollo Tubes Limited,APLAPOLLO,APLAPOLLO.NS
74,Max Financial Services Limited,MFSL,MFSL.NS
75,Cipla Limited,CIPLA,CIPLA.NS
76,Havells India Limited,HAVELLS,HAVELLS.NS
77,Prestige Estates Projects Limited,PRESTIGE,PRESTIGE.NS
78,Sun Pharmaceuticals Industries Limited,SUNPHARMA,SUNPHARMA.NS
79,The Phoenix Mills Limited,PHOENIXLTD,PHOENIXLTD.NS
80,Central Depository Services Ltd,CDSL,CDSL.NS
81,Tech Mahindra Limited,TECHM,TECHM.NS
82,Infosys Limited,INFY,INFY.NS
83,Bharat Dynamics Ltd,BDL,BDL.NS
84,Hcl Technologies Limited,HCLTECH,HCLTECH.NS
85,Cholamandalam Investment And Finance Company Limited,CHOLAFIN,CHOLAFIN.NS
86,Astral Poly Technik Limited,ASTRAL,ASTRAL.NS
87,Voltas Limited,VOLTAS,VOLTAS.NS
88,Icici Bank Limited,ICICIBANK,ICICIBANK.NS
89,Reliance Industries Limited,RELIANCE,RELIANCE.NS
90,Info Edge (india) Limited,NAUKRI,NAUKRI.NS
91,United Spirits Ltd,UNITDSPR,UNITDSPR.NS
92,Adani Ports And Special Economic Zone Limited,ADANIPORTS,ADANIPORTS.NS
93,Torrent Power Limited,TORNTPOWER,TORNTPOWER.NS
94,Uno Minda Ltd,UNOMINDA,UNOMINDA.NS
95,Godrej Consumer Products Limited,GODREJCP,GODREJCP.NS
96,One 97 Communications Ltd,PAYTM,PAYTM.NS
97,Dr. Reddy's Laboratories Limited,DRREDDY,DRREDDY.NS
98,KPIT Technologies Ltd,KPITTECH,KPITTECH.NS
99,Macrotech Developers Ltd,LODHA,LODHA.NS
100,Nestle India Limited,NESTLEIND,NESTLEIND.NS
101,Cyient Limited,CYIENT,CYIENT.NS
102,Max Healthcare Institute Ltd,MAXHEALTH,MAXHEALTH.NS
103,Bharat Forge Limited,BHARATFORG,BHARATFORG.NS
104,TATA Consumer Products Ltd,TATACONSUM,TATACONSUM.NS
105,Jsw Steel Limited,JSWSTEEL,JSWSTEEL.NS
106,KFin Technologies Ltd,KFINTECH,KFINTECH.NS
107,Axis Bank Limited,AXISBANK,AXISBANK.NS
108,Aurobindo Pharma Limited,AUROPHARMA,AUROPHARMA.NS
109,360 ONE WAM Ltd,360ONE,360ONE.NS
110,Jindal Steel & Power Limited,JINDALSTEL,JINDALSTEL.NS
111,Zydus Lifesciences Ltd,ZYDUSLIFE,ZYDUSLIFE.NS
112,Hdfc Bank Limited,HDFCBANK,HDFCBANK.NS
113,Tata Chemicals Limited,TATACHEM,TATACHEM.NS
114,Fortis Healthcare Limited,FORTIS,FORTIS.NS
115,Adani Green Energy Ltd,ADANIGREEN,ADANIGREEN.NS
116,Bajaj Finance Limited,BAJFINANCE,BAJFINANCE.NS
117,Laurus Labs Limited,LAURUSLABS,LAURUSLABS.NS
118,Life Insurance Corporation of India,LICI,LICI.NS
119,Titagarh Rail Systems Ltd,TITAGARH,TITAGARH.NS
120,State Bank Of India,SBIN,SBIN.NS
121,SBI Cards & Payment Services Ltd,SBICARD,SBICARD.NS
122,Pnb Housing Finance Limited,PNBHOUSING,PNBHOUSING.NS
123,The Indian Hotels Company Limited,INDHOTEL,INDHOTEL.NS
124,HDFC Life Insurance Company Ltd,HDFCLIFE,HDFCLIFE.NS
125,Adani Energy Solutions Ltd,ADANIENSOL,ADANIENSOL.NS
126,Dlf Limited,DLF,DLF.NS
127,Indusind Bank Limited,INDUSINDBK,INDUSINDBK.NS
128,CG Power and Industrial Solutions Ltd,CGPOWER,CGPOWER.NS
129,Marico Limited,MARICO,MARICO.NS
130,Hindalco Industries Limited,HINDALCO,HINDALCO.NS
131,Upl Limited,UPL,UPL.NS
132,AU Small Finance Bank,AUBANK,AUBANK.NS
133,Indian Railway Catering & Tourism Corporation Ltd,IRCTC,IRCTC.NS
134,Tata Motors Limited,TATAMOTORS,TATAMOTORS.NS
